Year	Type	Sequence	Source
Y2	LARGE	0000033333330330203000300000	F42.seq
Y2	LARGE	00000000000030044423	F42.seq
Y3	MEDIUM	000033300000	F42.seq
Y4	MEDIUM	0333033000	F42.seq
Y5	MEDIUM	000000000	F42.seq
Y3	MEDIUM	00000000	F42.seq
Y3	MEDIUM	000000000000	F42.seq
Y4	LARGE	0000000330400304400	F42.seq
Y5	MEDIUM	00000000	F42.seq
Y3	MEDIUM	40000000	F42.seq
Y4	MEDIUM	000000	F42.seq
Y3	MEDIUM	000004000000	F42.seq
Y4	MEDIUM	00004030000	F42.seq
Y5	MEDIUM	0000000	F42.seq
Y5	MEDIUM	00000000	F42.seq
Y5	MEDIUM	000000	F42.seq
Y2	LARGE	00300103000331311333040000033002000000004444403	F42.seq
Y3	LARGE	000003302032040000	F42.seq
Y4	MEDIUM	00000344200	F42.seq
Y3	LARGE	000003033000000300	F42.seq
Y5	MEDIUM	000000	F42.seq
Y4	MEDIUM	0000403333000	F42.seq
Y5	MEDIUM	00000000000000	F42.seq
Y3	LARGE	000033434404400000	F42.seq
Y5	MEDIUM	000000	F42.seq
Y3	LARGE	0000033033330000000	F42.seq
Y4	LARGE	00000000034434344443000000	F42.seq
Y5	LARGE	00000000000000000	F42.seq
Y5	MEDIUM	000000	F42.seq
Y3	LARGE	0003000033040030430000000	F42.seq
Y4	LARGE	00000000000000034330300303330	F42.seq
Y5	LARGE	0000000000000000000000000	F42.seq
Y5	MEDIUM	000000000	F42.seq
Y5	MEDIUM	00000000000	F42.seq
Y5	MEDIUM	0000	F42.seq
Y4	MEDIUM	00004000000000	F42.seq
Y5	MEDIUM	00000	F42.seq
Y3	LARGE	003333343333303	F42.seq
Y4	LARGE	00003444034400433000000	F42.seq
Y5	LARGE	0000000000000000000000	F42.seq
Y5	MEDIUM	00000	F42.seq
Y5	MEDIUM	000000	F42.seq
Y3	MEDIUM	00000340430000	F42.seq
Y4	MEDIUM	000330434400	F42.seq
Y5	MEDIUM	00000000	F42.seq
Y3	MEDIUM	000030033000	F42.seq
Y4	MEDIUM	000000030	F42.seq
Y4	MEDIUM	000000	F42.seq
Y5	MEDIUM	000000	F42.seq
Y4	MEDIUM	000000000000	F42.seq
Y5	MEDIUM	00000	F42.seq
Y5	MEDIUM	00000000	F42.seq
Y4	MEDIUM	00000000300	F42.seq
Y5	MEDIUM	00000	F42.seq
Y5	MEDIUM	000000	F42.seq
Y2	LARGE	03010000110000000000034040040000000004444004044040000010230300300	F42.seq
Y2	LARGE	00000333044444400400000	F42.seq
Y2	MEDIUM	0000000	F42.seq
Y3	LARGE	0044444400003000300	F42.seq
Y4	MEDIUM	00030330300	F42.seq
Y5	MEDIUM	000000000000	F42.seq
Y3	LARGE	0000000003300000030	F42.seq
Y4	MEDIUM	0000340040300	F42.seq
Y5	MEDIUM	00000	F42.seq
Y3	LARGE	00000000033030300000004000	F42.seq
Y4	MEDIUM	030333300	F42.seq
Y5	MEDIUM	00000000	F42.seq
