Observation,Year,Sequence,Terminal Fate
MEDIUM,Y4,0000034040000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0000040400020,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0000033033300300,DORMANT
MEDIUM,Y4,003030000,DORMANT
MEDIUM,Y4,000004,DORMANT
MEDIUM,Y4,003040000,DORMANT
MEDIUM,Y4,000000000000400000,DORMANT
MEDIUM,Y4,000000004400000,FLORAL
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,000000,LARGE
MEDIUM,Y4,00030400000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000000333000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,00003400400000,LARGE
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0333334000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,00300030000,DORMANT
MEDIUM,Y4,003044430000,DORMANT
MEDIUM,Y4,03404433300000,DORMANT
MEDIUM,Y4,0003,DORMANT
MEDIUM,Y4,0004040000000,DORMANT
MEDIUM,Y4,00030040000,DORMANT
MEDIUM,Y4,000000004004000000,FLORAL
MEDIUM,Y4,030040000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0030000,DORMANT
MEDIUM,Y4,0030303000,DORMANT
MEDIUM,Y4,003000,DORMANT
MEDIUM,Y4,00003,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,0000000,LARGE
MEDIUM,Y4,000,DORMANT
MEDIUM,Y4,000000300,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00400,LARGE
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,00,DORMANT
MEDIUM,Y4,000030000,DORMANT
MEDIUM,Y4,0303040300,DORMANT
MEDIUM,Y4,0000004400,DORMANT
MEDIUM,Y4,0000400404000,LARGE
MEDIUM,Y4,0,DORMANT
MEDIUM,Y4,0030330,MEDIUM
MEDIUM,Y4,000404000,DORMANT
MEDIUM,Y4,00003000030000,DORMANT
MEDIUM,Y4,0000004404000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000300,DORMANT
MEDIUM,Y4,0300333030,DORMANT
MEDIUM,Y4,000034000030,DORMANT
MEDIUM,Y4,03000030,DORMANT
MEDIUM,Y4,00000040001000,DORMANT
MEDIUM,Y4,0000004000000,DORMANT
MEDIUM,Y4,0000300300,DORMANT
MEDIUM,Y4,000300,DORMANT
MEDIUM,Y4,004000,DORMANT
MEDIUM,Y4,00304000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0030004000,DORMANT
MEDIUM,Y4,0000000003330003,DORMANT
MEDIUM,Y4,00033333000,DORMANT
MEDIUM,Y4,000003000333300,DORMANT
MEDIUM,Y4,0003044300,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00003000000,DORMANT
MEDIUM,Y4,0003030303000,DORMANT
MEDIUM,Y4,0000000300000,DORMANT
MEDIUM,Y4,00003,DORMANT
MEDIUM,Y4,03,DORMANT
MEDIUM,Y4,0000040440004000,LARGE
MEDIUM,Y4,0000000300,LARGE
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,000000040040400400,FLORAL
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,0000440000,DORMANT
MEDIUM,Y4,003044400,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00000000000,FLORAL
MEDIUM,Y4,00000004,DORMANT
MEDIUM,Y4,0004043000,DORMANT
MEDIUM,Y4,000030443440,DORMANT
MEDIUM,Y4,000030030,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,000,DORMANT
MEDIUM,Y4,000000400000,DORMANT
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,00000030,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,0000444440404000,DORMANT
MEDIUM,Y4,03043330,FLORAL
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0003043000,DORMANT
MEDIUM,Y4,00004300000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,00000004,DORMANT
MEDIUM,Y4,0000400000,DORMANT
MEDIUM,Y4,0030404000,DORMANT
MEDIUM,Y4,0000304003000,DORMANT
MEDIUM,Y4,00000000000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000033330003030,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0000044400,DORMANT
MEDIUM,Y4,00000,FLORAL
MEDIUM,Y4,0000,DORMANT
MEDIUM,Y4,000003040400303000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,00000004000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,003000,DORMANT
MEDIUM,Y4,00300400,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,030000,DORMANT
MEDIUM,Y4,00000000000000000,DORMANT
MEDIUM,Y4,0004,DORMANT
MEDIUM,Y4,000030040000,DORMANT
MEDIUM,Y4,0000000000000,DORMANT
MEDIUM,Y4,00000404000000,DORMANT
MEDIUM,Y4,000000303000,DORMANT
MEDIUM,Y4,0000003000,DORMANT
MEDIUM,Y4,003044040,DORMANT
MEDIUM,Y4,0000303000000,DORMANT
MEDIUM,Y4,000333330000,DORMANT
MEDIUM,Y4,000000000000,DORMANT
MEDIUM,Y4,0333330,FLORAL
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,003040000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0004033333333000,DORMANT
MEDIUM,Y4,00040000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0000004000,DORMANT
MEDIUM,Y4,000404443000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00000033330030,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00000000000,DORMANT
MEDIUM,Y4,00004000000,LARGE
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000000040,MEDIUM
MEDIUM,Y4,0003044000,DORMANT
MEDIUM,Y4,0000000400000,DORMANT
MEDIUM,Y4,000000,LARGE
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,0003000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00000030000,DORMANT
MEDIUM,Y4,003,LARGE
MEDIUM,Y4,004000,DORMANT
MEDIUM,Y4,000030300,DORMANT
MEDIUM,Y4,000000000,DORMANT
